"","id","max_year","min_year","avg_depth","DA","slope","logDA","shed"
"78",10,2010,1992,2.17,16500,0.240610092878342,4.21748394421391,"laurelcreek"
"79",11,2008,1992,5.15,6900,0.124447628855705,3.83884909073726,"laurelcreek"
"80",14,2008,2005,2.76,12000,0.492201834917068,4.07918124604763,"laurelcreek"
"81",19,2014,1996,2.79,44000,0.306325197219849,4.64345267648619,"laurelcreek"
"82",20,2021,1986,5.21,40100,0.596014380455017,4.60314437262018,"laurelcreek"
"83",21,2021,1986,1.04,16300,0.501893043518066,4.21218760440396,"laurelcreek"
"84",22,2021,1989,2.27,21400,0.587796032428741,4.33041377334919,"laurelcreek"
"85",23,2002,1990,1.14,900,0.510205090045929,2.95424250943932,"laurelcreek"
"86",24,1993,1990,5.01,43600,0.584097266197205,4.63948648926859,"laurelcreek"
"87",25,1991,1990,4.57,1800,0.458514392375946,3.25527250510331,"laurelcreek"
"88",27,2021,2012,2.75,45100,0.400127738714218,4.65417654187796,"laurelcreek"
"89",28,2021,1995,1.06,2700,0.343745648860931,3.43136376415899,"laurelcreek"
"90",29,2021,1995,1.24,793500,0.408584594726562,5.89954693109087,"laurelcreek"
"91",30,2021,1994,1.4,4400,0.421281814575195,3.64345267648619,"laurelcreek"
"92",31,2021,1994,0.7,4400,0.481826543807983,3.64345267648619,"laurelcreek"
"93",32,2021,2001,1.25,2800,0.182024747133255,3.44715803134222,"laurelcreek"
"94",33,2007,1992,0.68,1200,0.648117065429688,3.07918124604762,"laurelcreek"
"95",34,2008,1992,1.32,900,0.713687121868134,2.95424250943932,"laurelcreek"
"96",35,2008,1992,3.17,1300,0.715029895305634,3.11394335230684,"laurelcreek"
"97",36,2008,1992,4.46,600,0.649273693561554,2.77815125038364,"laurelcreek"
"98",37,2011,1992,1.03,1200,0.679858386516571,3.07918124604762,"laurelcreek"
"99",38,2008,1992,2.5,300,0.560083448886871,2.47712125471966,"laurelcreek"
"100",39,2008,1992,1.13,200,0.640107750892639,2.30102999566398,"laurelcreek"
"101",40,2008,1992,2.19,4300,0.522106945514679,3.63346845557959,"laurelcreek"
"102",41,2021,1985,2.31,500,0.645008385181427,2.69897000433602,"laurelcreek"
"103",42,2002,1986,1.76,200,0.63740599155426,2.30102999566398,"laurelcreek"
"104",43,2000,1990,3.29,600,0.529164791107178,2.77815125038364,"laurelcreek"
"105",44,2008,1990,2.22,3900,0.363216549158096,3.5910646070265,"laurelcreek"
"106",46,2021,1992,1.9,2600,0.467449963092804,3.41497334797082,"laurelcreek"
"107",47,2021,2002,1.38,2800,0.618181109428406,3.44715803134222,"laurelcreek"
"108",48,2021,2002,5.67,700,0.577042579650879,2.84509804001426,"laurelcreek"
"109",49,2021,1987,2.24,2700,0.385915696620941,3.43136376415899,"laurelcreek"
"110",50,2021,1992,1.2,300,0.705944836139679,2.47712125471966,"laurelcreek"
"111",53,2000,1990,0.53,1900,0.35150757431984,3.27875360095283,"laurelcreek"
"112",1,2021,2001,2.3,3100,0.521832287311554,3.49136169383427,"whiteoak"
"113",2,2021,2008,3.8,43500,0.188247680664062,4.63848925695464,"whiteoak"
"114",3,2021,2008,2.9,38600,0.332159787416458,4.58658730467176,"whiteoak"
"115",4,2021,2009,3.3,36300,0.32981413602829,4.55990662503611,"whiteoak"
"116",5,2021,2008,6.08,68600,0.22317199409008,4.83632411570675,"whiteoak"
"117",6,2021,2014,1.74,8400,0.542764008045197,3.92427928606188,"whiteoak"
"118",7,2021,2014,3.17,13100,0.318493694067001,4.11727129565576,"whiteoak"
"119",8,2021,1991,4.83,124900,0.324738711118698,5.09656243837414,"whiteoak"
"120",9,2021,2015,8.5,12900,0.562503039836884,4.11058971029925,"whiteoak"
"121",10,2021,2014,5.63,800,0.368344128131866,2.90308998699194,"whiteoak"
"122",11,2021,2014,3.34,4200,0.58899313211441,3.6232492903979,"whiteoak"
"123",12,2021,2014,4.5,22000,0.453391641378403,4.34242268082221,"whiteoak"
"124",13,2021,1991,2.4,100,0.497598767280579,2,"whiteoak"
"125",14,2021,1995,9.4,53400,0.340062081813812,4.72754125702856,"whiteoak"
"126",15,2018,1997,3.5,300,0.566587448120117,2.47712125471966,"whiteoak"
"127",16,2021,2005,6.5,15600,0.413369745016098,4.19312459835446,"whiteoak"
"128",17,2021,1997,1.08,35700,0.580175757408142,4.55266821611219,"whiteoak"
"129",21,1985,1985,4,33600,0.509738147258759,4.52633927738984,"whiteoak"
"130",22,2007,1985,2.6,40500,0.389260858297348,4.60745502321467,"whiteoak"
"131",23,2021,2014,3.64,3000,0.615854859352112,3.47712125471966,"whiteoak"
"132",24,2021,2010,4.27,37100,0.596975266933441,4.56937390961505,"whiteoak"
"133",25,2021,2002,5.1,3100,0.5306396484375,3.49136169383427,"whiteoak"
"134",26,2021,2003,3.1,10000,0.589649140834808,4,"whiteoak"
"135",27,2020,2002,3.86,400,0.71535336971283,2.60205999132796,"whiteoak"
"136",28,2021,2002,5.74,700,0.377562403678894,2.84509804001426,"whiteoak"
"137",29,2021,2000,3.1,12200,0.616262793540955,4.08635983067475,"whiteoak"
"138",30,2021,1992,5.2,500,0.59053647518158,2.69897000433602,"whiteoak"
"139",31,2021,1992,2.5,800,0.625906467437744,2.90308998699194,"whiteoak"
"140",32,2021,1999,3.2,200,0.415138244628906,2.30102999566398,"whiteoak"
"141",33,2021,1995,7.8,4800,0.150441452860832,3.68124123737559,"whiteoak"
"142",34,2021,2005,3.1,100,0.70656430721283,2,"whiteoak"
"143",35,2018,1997,7.4,12800,0.47606810927391,4.10720996964787,"whiteoak"
"144",36,2021,1985,3.3,700,0.539928495883942,2.84509804001426,"whiteoak"
"145",37,2021,1986,3.7,300,0.699621558189392,2.47712125471966,"whiteoak"
"146",38,2021,1985,4.2,1700,0.887689232826233,3.23044892137827,"whiteoak"
"147",39,2021,2002,3.24,100,0.371731579303741,2,"whiteoak"
"148",40,2021,1991,2.54,3400,0.153633013367653,3.53147891704225,"whiteoak"
"149",41,2021,1991,4.7,2400,0.523812890052795,3.38021124171161,"whiteoak"
"150",42,2021,1991,1.65,500,0.455349743366241,2.69897000433602,"whiteoak"
"151",43,2021,2014,2.9,2600,0.675976634025574,3.41497334797082,"whiteoak"
"152",44,2021,1985,3.4,300,0.789925515651703,2.47712125471966,"whiteoak"
"153",45,2021,1985,2.2,21000,0.601031482219696,4.32221929473392,"whiteoak"
"154",46,2021,1985,2.8,1800,0.782809436321259,3.25527250510331,"whiteoak"
"155",47,2021,1985,1.67,1000,0.754916369915009,3,"whiteoak"
"156",1,2010,1990,2.97,100,0.393371313810349,2,"mudriver"
"157",2,2011,1990,2.57,100,0.427207469940186,2,"mudriver"
"158",3,2021,1991,1.1,100,0.322910934686661,2,"mudriver"
"159",4,2004,1991,1.66,6600,0.513599753379822,3.81954393554187,"mudriver"
"160",5,2020,1994,4.34,3300,0.205069169402122,3.51851393987789,"mudriver"
"161",6,2021,1994,2.21,5200,0.447738647460938,3.7160033436348,"mudriver"
"162",7,2021,1994,4.2,200,0.482605546712875,2.30102999566398,"mudriver"
"163",8,2021,1994,1.03,200,0.40827026963234,2.30102999566398,"mudriver"
"164",9,2020,1994,0.89,200,0.434750378131866,2.30102999566398,"mudriver"
"165",10,2020,1995,1.91,47200,0.263540655374527,4.67394199863409,"mudriver"
"166",11,2010,1990,1.34,900,0.627048015594482,2.95424250943932,"mudriver"
"167",12,2009,1990,0.95,900,0.597818970680237,2.95424250943932,"mudriver"
"168",13,2017,1991,0.95,3000,0.541271984577179,3.47712125471966,"mudriver"
"169",14,2017,1991,8.8,4400,0.6085205078125,3.64345267648619,"mudriver"
"170",15,2021,1991,3.45,400,0.436978161334991,2.60205999132796,"mudriver"
"171",16,2021,1991,1.67,500,0.534188866615295,2.69897000433602,"mudriver"
"172",17,2021,1991,1.03,600,0.45026484131813,2.77815125038364,"mudriver"
"173",18,2021,1996,1.55,800,0.457137793302536,2.90308998699194,"mudriver"
"174",19,2021,1997,0.42,900,0.206597894430161,2.95424250943932,"mudriver"
"175",20,2021,1997,0.47,100,0.449969470500946,2,"mudriver"
"176",21,2021,1997,2.29,1000,0.326361447572708,3,"mudriver"
